FMP	FPP
0.1214	0.0037
0.162	0.0047
0.1293	0.0034
0.6926	0.0112
0.0469	0.0012
0.5839	0.0117
0.371	0.0106
0.7748	0.0294
5e-04	2e-04
0.1462	0.0045
0.0149	8e-04
0.8224	0.0364
0.0022	2e-04
0.3171	0.0101
0.1307	0.0037
0.0197	7e-04
0.2052	0.0063
0.1764	0.0074
0.8766	0.035
0.0015	1e-04
0.0297	0.0012
0.0242	0.001
0.0964	0.0023
0.2485	0.0067
0.0374	0.002
0.1823	0.0055
0.8343	0.063
0.0467	0.0028
0.0093	5e-04
0.2202	0.0062
0.1058	0.0053
0.5803	0.0273
0.3027	0.0056
0.7222	0.0238
0.0089	7e-04
0.3545	0.0088
0.0024	6e-04
0.1123	0.0042
0.8641	0.0524
0.0451	0.0012
0.0219	0.0013
0.0143	7e-04
0.0093	2e-04
0.4708	0.013
0.0293	0.0019
0.3758	0.014
0.6065	0.0136
0.3052	0.0121
0.0644	0.0021
0.1039	0.0047
0.516	0.0126
