FMP	RMP	FPP	UPP	ANPP	NPP	ANCOVA
5e-04	5e-04	2e-04	5e-04	1e-04	2e-04	0.00519217749192211
0	0	0	0	0	0	3.37666310849711e-05
0.0247	0.0239	0.0027	0.0195	0.012	0.0132	0.103177405127314
0.0128	0.0133	0.0013	0.0096	0.0047	0.0053	0.0598164182981573
0	0	0	0	0	1e-04	0.000599920845047588
0.0442	0.0492	0.0041	0.0307	0.0187	0.0191	0.154717002348117
8e-04	0.0014	1e-04	9e-04	6e-04	7e-04	0.00490634300902921
0	0	0	0	0	0	0.00015539263672526
0.0022	0.0019	0	9e-04	0.0011	0.0017	0.014309910588994
0.0014	7e-04	1e-04	7e-04	4e-04	5e-04	0.00859494055500236
0	5e-04	5e-04	1e-04	3e-04	5e-04	0.00252365777086825
5e-04	8e-04	1e-04	6e-04	4e-04	2e-04	0.00473258467048282
0.0298	0.0245	0.0027	0.0162	0.0131	0.0129	0.112523026764369
0.0021	0.0021	4e-04	6e-04	0.0011	9e-04	0.0112774082750054
0.0593	0.0674	0.0063	0.0383	0.0299	0.0323	0.173838479478408
0	0	0	0	3e-04	1e-04	0.000795891488904587
0.0111	0.0147	0.0018	0.0076	0.0076	0.0047	0.0666635610176076
0.0015	0.0027	2e-04	0.001	0.0013	9e-04	0.0149216599224761
5e-04	8e-04	2e-04	4e-04	4e-04	0.0013	0.00522051685210639
0.5377	0.5465	0.0559	0.3226	0.2417	0.2566	0.723577428009783
0.043	0.0431	0.0049	0.0281	0.0204	0.0221	0.186280444467059
0	0	0	1e-04	0	0	0.000237276170612993
0	2e-04	2e-04	2e-04	1e-04	2e-04	0.00238624169462056
0.0103	0.0105	0.0022	0.0047	0.0053	0.0054	0.0475269229349415
0.0888	0.0949	0.0089	0.0531	0.042	0.0371	0.258559509724379
0	0	0	0	0	0	6.05450364826263e-05
0.0054	0.006	8e-04	0.0039	0.0019	0.0025	0.0324415891923648
0.0151	0.0122	0.0013	0.0094	0.005	0.0076	0.0714512268667211
0.0244	0.0251	0.002	0.0164	0.014	0.0104	0.116503879938197
0.0019	0.0026	7e-04	0.002	0.0019	0.0012	0.0138771694009309
0.0028	0.0026	5e-04	0.0018	0.0019	0.0018	0.0182250376676509
1e-04	0	0	3e-04	0	2e-04	0.00134152246768173
0.0063	0.0089	5e-04	0.0069	0.0039	0.0049	0.0495678291645617
0.0167	0.0187	0.0022	0.0116	0.0073	0.0098	0.0743773958027365
0	0	0	5e-04	0	0	0.000155496902578155
0.0102	0.0137	0.002	0.0094	0.0047	0.0059	0.0626690139748344
0.0118	0.0127	0.0018	0.0103	0.0067	0.0071	0.0651821068063218
0	0	0	0	0	1e-04	0.000258979748040757
0.0052	0.0071	0.0014	0.0052	0.0031	0.0041	0.0355081691364065
0	3e-04	0	1e-04	1e-04	2e-04	0.00103774151092425
9e-04	1e-04	0	1e-04	1e-04	1e-04	0.00114670808577512
0.0162	0.0195	0.0028	0.0127	0.0112	0.0104	0.089857617763858
0.0023	0.0013	2e-04	7e-04	0.001	4e-04	0.0107994096256456
0.0322	0.038	0.0044	0.023	0.0159	0.0166	0.129256969532815
2e-04	2e-04	0	3e-04	2e-04	1e-04	0.0014851226411932
0.0407	0.0353	0.0047	0.0266	0.0192	0.0166	0.143601766206027
0	0	0	0	0	0	8.16227094892811e-05
7e-04	0.0013	1e-04	0.0011	1e-04	5e-04	0.00560467975744116
0.011	0.0108	7e-04	0.0072	0.0048	0.0042	0.0506050158362232
0.0409	0.0459	0.0035	0.0266	0.0161	0.0172	0.163823270878481
0.0108	0.0104	0.0015	0.0091	0.0036	0.0056	0.0681320821188217
0.0017	0.0019	3e-04	0.0013	9e-04	0.0011	0.0109274567918506
0.1058	0.1042	0.011	0.0569	0.0484	0.0503	0.263323618052289
7e-04	0	0	6e-04	0	1e-04	0.00231731832013925
0.0586	0.06	0.0065	0.0377	0.0237	0.0223	0.190995826533795
